video_id,gesture_label,original_source_dataset,original_split,assigned_split,train_test_usage,experiment_stage
vid_00000,Stop Sign,Jester,unknown,Train,train,baseline
vid_00001,Swipe Right,Jester,unknown,Train,train,baseline
vid_00002,Thumb Down,Jester,unknown,DS1,test,task1
vid_00003,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00004,Stop Sign,Jester,unknown,Train,train,baseline
vid_00005,Swipe Right,Jester,unknown,DS1,test,task1
vid_00006,Swipe Right,Jester,unknown,Train,train,baseline
vid_00007,Swipe Left,Jester,unknown,Train,train,baseline
vid_00008,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00009,Stop Sign,Jester,unknown,Train,train,baseline
vid_00010,Stop Sign,Jester,unknown,Train,train,baseline
vid_00011,Swipe Right,Jester,unknown,Train,train,baseline
vid_00012,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00013,Stop Sign,Jester,unknown,Train,train,baseline
vid_00014,Thumb Down,Jester,unknown,Train,train,baseline
vid_00015,Swipe Left,Jester,unknown,DS1,test,task1
vid_00016,Stop Sign,Jester,unknown,Train,train,baseline
vid_00017,Thumb Down,Jester,unknown,Train,train,baseline
vid_00018,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00019,Stop Sign,Jester,unknown,Train,train,baseline
vid_00020,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00021,Swipe Right,Jester,unknown,Train,train,baseline
vid_00022,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00023,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00024,Thumb Down,Jester,unknown,DS2,test,task2
vid_00025,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00026,Swipe Left,Jester,unknown,Train,train,baseline
vid_00027,Thumb Down,Jester,unknown,DS2,test,task2
vid_00028,Swipe Right,Jester,unknown,Train,train,baseline
vid_00029,Swipe Right,Jester,unknown,DS3,test,task3
vid_00030,Swipe Right,Jester,unknown,Train,train,baseline
vid_00031,Swipe Right,Jester,unknown,DS3,test,task3
vid_00032,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00033,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00034,Swipe Right,Jester,unknown,DS2,test,task2
vid_00035,Swipe Left,Jester,unknown,Train,train,baseline
vid_00036,Swipe Left,Jester,unknown,DS1,test,task1
vid_00037,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00038,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00039,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00040,Swipe Right,Jester,unknown,Train,train,baseline
vid_00041,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00042,Thumb Down,Jester,unknown,Train,train,baseline
vid_00043,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00044,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00045,Thumb Down,Jester,unknown,Train,train,baseline
vid_00046,Thumb Down,Jester,unknown,Train,train,baseline
vid_00047,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00048,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00049,Stop Sign,Jester,unknown,Train,train,baseline
vid_00050,Swipe Left,Jester,unknown,Train,train,baseline
vid_00051,Swipe Left,Jester,unknown,Train,train,baseline
vid_00052,Swipe Right,Jester,unknown,DS3,test,task3
vid_00053,Stop Sign,Jester,unknown,Train,train,baseline
vid_00054,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00055,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00056,Stop Sign,Jester,unknown,Train,train,baseline
vid_00057,Stop Sign,Jester,unknown,DS3,test,task3
vid_00058,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00059,Thumb Down,Jester,unknown,Train,train,baseline
vid_00060,Swipe Left,Jester,unknown,Train,train,baseline
vid_00061,Swipe Left,Jester,unknown,DS1,test,task1
vid_00062,Swipe Right,Jester,unknown,Train,train,baseline
vid_00063,Stop Sign,Jester,unknown,DS1,test,task1
vid_00064,Stop Sign,Jester,unknown,Train,train,baseline
vid_00065,Stop Sign,Jester,unknown,Train,train,baseline
vid_00066,Swipe Left,Jester,unknown,Train,train,baseline
vid_00067,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00068,Stop Sign,Jester,unknown,Train,train,baseline
vid_00069,Thumb Down,Jester,unknown,Train,train,baseline
vid_00070,Swipe Right,Jester,unknown,DS1,test,task1
vid_00071,Swipe Left,Jester,unknown,Train,train,baseline
vid_00072,Swipe Right,Jester,unknown,Train,train,baseline
vid_00073,Stop Sign,Jester,unknown,DS3,test,task3
vid_00074,Stop Sign,Jester,unknown,Train,train,baseline
vid_00075,Swipe Right,Jester,unknown,Train,train,baseline
vid_00076,Stop Sign,Jester,unknown,Train,train,baseline
vid_00077,Swipe Left,Jester,unknown,Train,train,baseline
vid_00078,Thumb Down,Jester,unknown,DS2,test,task2
vid_00079,Thumb Down,Jester,unknown,Train,train,baseline
vid_00080,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00081,Swipe Left,Jester,unknown,Train,train,baseline
vid_00082,Swipe Left,Jester,unknown,DS1,test,task1
vid_00083,Swipe Right,Jester,unknown,Train,train,baseline
vid_00084,Swipe Left,Jester,unknown,DS1,test,task1
vid_00085,Swipe Right,Jester,unknown,Train,train,baseline
vid_00086,Swipe Left,Jester,unknown,Train,train,baseline
vid_00087,Swipe Right,Jester,unknown,DS2,test,task2
vid_00088,Swipe Left,Jester,unknown,DS1,test,task1
vid_00089,Thumb Down,Jester,unknown,Train,train,baseline
vid_00090,Swipe Left,Jester,unknown,DS2,test,task2
vid_00091,Stop Sign,Jester,unknown,Train,train,baseline
vid_00092,Thumb Down,Jester,unknown,DS2,test,task2
vid_00093,Swipe Right,Jester,unknown,Train,train,baseline
vid_00094,Thumb Down,Jester,unknown,Train,train,baseline
vid_00095,Swipe Right,Jester,unknown,DS1,test,task1
vid_00096,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00097,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00098,Stop Sign,Jester,unknown,DS2,test,task2
vid_00099,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00100,Stop Sign,Jester,unknown,Train,train,baseline
vid_00101,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00102,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00103,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00104,Swipe Left,Jester,unknown,Train,train,baseline
vid_00105,Thumb Down,Jester,unknown,DS2,test,task2
vid_00106,Swipe Right,Jester,unknown,DS1,test,task1
vid_00107,Thumb Down,Jester,unknown,Train,train,baseline
vid_00108,Thumb Down,Jester,unknown,Train,train,baseline
vid_00109,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00110,Swipe Right,Jester,unknown,Train,train,baseline
vid_00111,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00112,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00113,Swipe Right,Jester,unknown,DS2,test,task2
vid_00114,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00115,Swipe Right,Jester,unknown,Train,train,baseline
vid_00116,Swipe Left,Jester,unknown,DS3,test,task3
vid_00117,Swipe Right,Jester,unknown,Train,train,baseline
vid_00118,Stop Sign,Jester,unknown,Train,train,baseline
vid_00119,Swipe Left,Jester,unknown,DS1,test,task1
vid_00120,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00121,Swipe Right,Jester,unknown,Train,train,baseline
vid_00122,Thumb Down,Jester,unknown,DS2,test,task2
vid_00123,Thumb Down,Jester,unknown,Train,train,baseline
vid_00124,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00125,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00126,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00127,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00128,Thumb Down,Jester,unknown,Train,train,baseline
vid_00129,Stop Sign,Jester,unknown,DS1,test,task1
vid_00130,Swipe Right,Jester,unknown,DS1,test,task1
vid_00131,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00132,Swipe Left,Jester,unknown,DS2,test,task2
vid_00133,Thumb Down,Jester,unknown,Train,train,baseline
vid_00134,Swipe Left,Jester,unknown,DS1,test,task1
vid_00135,Swipe Left,Jester,unknown,Train,train,baseline
vid_00136,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00137,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00138,Swipe Left,Jester,unknown,Train,train,baseline
vid_00139,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00140,Swipe Right,Jester,unknown,Train,train,baseline
